"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","194.210.222.142","194.210.223.255","NBNS","92","Name query NB BRWA8934A2177F6<00>"
"2","0.000431","194.210.222.78","224.0.0.251","MDNS","193","Standard query response 0x0000 PTR Altti - MacBook Air._companion-link._tcp.local TXT"
"3","0.000795","fe80::c4:2e65:e52d:f9d9","ff02::fb","MDNS","213","Standard query response 0x0000 PTR Altti - MacBook Air._companion-link._tcp.local TXT"
"4","0.001164","194.210.221.69","224.0.0.251","MDNS","309","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 07A50659-FFCC-41A8-BA0F-399C7003BB14._asquic._udp.local SRV, cache flush 0 0 50017 matilde.local AAAA, cache flush fe80::41a:40fd:5238:7eda A, cache flush 194.210.221.69 AAAA, cache flush 2001:690:2100:1016:10ee:c9c6:b167:3aa8 NSEC, cache flush 07A50659-FFCC-41A8-BA0F-399C7003BB14._asquic._udp.local NSEC, cache flush matilde.local"
"5","0.001351","fe80::41a:40fd:5238:7eda","ff02::fb","MDNS","329","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 07A50659-FFCC-41A8-BA0F-399C7003BB14._asquic._udp.local SRV, cache flush 0 0 50017 matilde.local AAAA, cache flush fe80::41a:40fd:5238:7eda A, cache flush 194.210.221.69 AAAA, cache flush 2001:690:2100:1016:10ee:c9c6:b167:3aa8 NSEC, cache flush 07A50659-FFCC-41A8-BA0F-399C7003BB14._asquic._udp.local NSEC, cache flush matilde.local"
"6","0.001579","194.210.234.246","224.0.0.251","MDNS","197","Standard query response 0x0000 TXT PTR Esconderijo Escondido._companion-link._tcp.local"
"7","0.001779","fe80::18ca:929e:d120:d04c","ff02::fb","MDNS","217","Standard query response 0x0000 TXT PTR Esconderijo Escondido._companion-link._tcp.local"
"8","0.002048","194.210.223.93","224.0.0.251","MDNS","162","Standard query response 0x0000 PTR Davidâ\200\231s iPad._companion-link._tcp.local TXT"
"9","0.002254","fe80::1419:6dc9:b59a:8cf0","ff02::fb","MDNS","182","Standard query response 0x0000 PTR Davidâ\200\231s iPad._companion-link._tcp.local TXT"
"10","0.002609","194.210.222.238","224.0.0.251","MDNS","241","Standard query response 0x0000 PTR MacBook Air de Helena (2)._companion-link._tcp.local TXT OPT"
"11","0.002862","fe80::1070:4b9b:1fc7:4f03","ff02::fb","MDNS","261","Standard query response 0x0000 PTR MacBook Air de Helena (2)._companion-link._tcp.local TXT OPT"
"12","0.003106","194.210.223.232","194.210.223.255","NBNS","110","Release NB MACBOOKPRO-2E9C<00>"
"13","0.003195","194.210.223.232","224.0.0.251","MDNS","208","Standard query response 0x0000 PTR MacBook Pro de Gon\303\247alo._companion-link._tcp.local TXT"
"14","0.003385","fe80::14e4:a0f8:94db:b24a","ff02::fb","MDNS","228","Standard query response 0x0000 PTR MacBook Pro de Gon\303\247alo._companion-link._tcp.local TXT"
"15","0.003729","194.210.221.124","224.0.0.251","MDNS","193","Standard query response 0x0000 PTR MacBook Air de Sara._companion-link._tcp.local TXT"
"16","0.003995","fe80::10e5:d914:3200:d339","ff02::fb","MDNS","213","Standard query response 0x0000 PTR MacBook Air de Sara._companion-link._tcp.local TXT"
"17","0.004267","194.210.223.101","224.0.0.251","MDNS","204","Standard query response 0x0000 PTR MacBook Pro de Amadeu._companion-link._tcp.local TXT"
"18","0.004553","fe80::893:e2ff:37b5:e47e","ff02::fb","MDNS","224","Standard query response 0x0000 PTR MacBook Pro de Amadeu._companion-link._tcp.local TXT"
"19","0.004891","194.210.234.104","224.0.0.251","MDNS","204","Standard query response 0x0000 TXT PTR MacBook Air de Jo\303\243o (4)._companion-link._tcp.local"
"20","0.005118","fe80::184c:a90d:1ff8:6c0c","ff02::fb","MDNS","224","Standard query response 0x0000 TXT PTR MacBook Air de Jo\303\243o (4)._companion-link._tcp.local"
"21","0.108426","194.210.223.28","224.0.0.251","MDNS","158","Standard query response 0x0000 PTR iPad de Lara._companion-link._tcp.local TXT"
"22","0.109069","fe80::10a9:9050:4f1e:e50d","ff02::fb","MDNS","178","Standard query response 0x0000 PTR iPad de Lara._companion-link._tcp.local TXT"
"23","0.109485","194.210.220.139","224.0.0.251","MDNS","203","Standard query response 0x0000 TXT PTR MacBook Air de Guilherme._companion-link._tcp.local"
"24","0.109781","fe80::5f:b756:9c19:82c6","ff02::fb","MDNS","223","Standard query response 0x0000 TXT PTR MacBook Air de Guilherme._companion-link._tcp.local"
"25","0.110050","194.210.220.33","224.0.0.251","MDNS","152","Standard query response 0x0000 PTR iPad (38)._companion-link._tcp.local TXT"
"26","0.110270","fe80::86b:2df3:381b:ad1c","ff02::fb","MDNS","172","Standard query response 0x0000 PTR iPad (38)._companion-link._tcp.local TXT"
"27","0.110505","194.210.220.230","224.0.0.251","MDNS","176","Standard query response 0x0000 PTR Y0DYTCGXY3._companion-link._tcp.local TXT"
"28","0.110682","fe80::4c0:ee22:2064:d0e0","ff02::fb","MDNS","196","Standard query response 0x0000 PTR Y0DYTCGXY3._companion-link._tcp.local TXT"
"29","0.110994","194.210.223.128","224.0.0.251","MDNS","150","Standard query response 0x0000 TXT PTR iPad (6)._companion-link._tcp.local"
"30","0.111275","fe80::1c9b:6fc:1ac9:959d","ff02::fb","MDNS","170","Standard query response 0x0000 TXT PTR iPad (6)._companion-link._tcp.local"
"31","0.111521","194.210.221.240","224.0.0.251","MDNS","718","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR T4Gâ\200\231s MacBook Pro._companion-link._tcp.local PTR MacBook Pro GT._companion-link._tcp.local PTR MacBook Air de Mariana._companion-link._tcp.local PTR Andrzejâ\200\231s MacBook._companion-link._tcp.local PTR MacBook Air de Patricia._companion-link._tcp.local PTR Miguel's MacBook Pro._companion-link._tcp.local PTR MacBook Pro (7)._companion-link._tcp.local PTR iPad di Rosalba._companion-link._tcp.local PTR MacBook Air (5)._companion-link._tcp.local PTR iPad (55)._companion-link._tcp.local PTR Ipad (4)._companion-link._tcp.local PTR JC's Mac._companion-link._tcp.local PTR FranciscoLivraghi._companion-link._tcp.local PTR iPad (34)._companion-link._tcp.local PTR MacBook Pro de S\303\251rgio._companion-link._tcp.local PTR Ritaâ\200\231s MacBook Pro._companion-link._tcp.local PTR iPad Catarina ._companion-link._tcp.local PTR MacBook Air von Sina._companion-link._tcp.local PTR Beatriz Oliveira._companion-link._tcp.local PTR Miguel's iPad._companion-link._tcp.local"
"32","0.111721","fe80::1c09:4a3d:91a1:2a5b","ff02::fb","MDNS","738","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR T4Gâ\200\231s MacBook Pro._companion-link._tcp.local PTR MacBook Pro GT._companion-link._tcp.local PTR MacBook Air de Mariana._companion-link._tcp.local PTR Andrzejâ\200\231s MacBook._companion-link._tcp.local PTR MacBook Air de Patricia._companion-link._tcp.local PTR Miguel's MacBook Pro._companion-link._tcp.local PTR MacBook Pro (7)._companion-link._tcp.local PTR iPad di Rosalba._companion-link._tcp.local PTR MacBook Air (5)._companion-link._tcp.local PTR iPad (55)._companion-link._tcp.local PTR Ipad (4)._companion-link._tcp.local PTR JC's Mac._companion-link._tcp.local PTR FranciscoLivraghi._companion-link._tcp.local PTR iPad (34)._companion-link._tcp.local PTR MacBook Pro de S\303\251rgio._companion-link._tcp.local PTR Ritaâ\200\231s MacBook Pro._companion-link._tcp.local PTR iPad Catarina ._companion-link._tcp.local PTR MacBook Air von Sina._companion-link._tcp.local PTR Beatriz Oliveira._companion-link._tcp.local PTR Miguel's iPad._companion-link._tcp.local"
