"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","194.210.223.226","52.112.167.170","RTCP","174","Payload-specific Feedback   ALFB  "
"2","0.042291","52.112.167.170","194.210.223.226","UDP","119","3478  >  50029 Len=77"
"3","0.042291","52.112.167.170","194.210.223.226","UDP","1191","3478  >  50029 Len=1149"
"4","0.042291","52.112.167.170","194.210.223.226","UDP","1190","3478  >  50029 Len=1148"
"5","0.049159","52.112.167.170","194.210.223.226","UDP","119","3478  >  50029 Len=77"
"6","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"7","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"8","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"9","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"10","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"11","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"12","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"13","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"14","0.049159","52.112.167.170","194.210.223.226","UDP","617","3478  >  50029 Len=575"
"15","0.052809","fe80::457:75e4:7dc:df3c","ff02::fb","ICMPv6","86","Multicast Listener Report"
"16","0.053111","fe80::501:cef0:34e5:4282","ff02::c","ICMPv6","86","Multicast Listener Report"
"17","0.053196","fe80::501:cef0:34e5:4282","ff02::fb","ICMPv6","86","Multicast Listener Report"
"18","0.054799","194.210.223.226","52.112.167.170","STUN","131","ChannelData TURN Message"
"19","0.054875","194.210.223.226","52.112.167.170","STUN","1232","ChannelData TURN Message"
"20","0.054901","194.210.223.226","52.112.167.170","STUN","1232","ChannelData TURN Message"
"21","0.054926","194.210.223.226","52.112.167.170","STUN","1232","ChannelData TURN Message"
"22","0.054952","194.210.223.226","52.112.167.170","STUN","1232","ChannelData TURN Message"
"23","0.055006","194.210.223.226","52.112.167.170","STUN","1232","ChannelData TURN Message"
"24","0.055087","194.210.223.226","52.112.167.170","STUN","1232","ChannelData TURN Message"
"25","0.055152","194.210.223.226","52.112.167.170","STUN","1232","ChannelData TURN Message"
"26","0.055345","194.210.234.135","224.0.0.251","MDNS","500","Standard query response 0x0000 PTR Franciscoâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 52218 Franciscos-MacBook-Air.local AAAA, cache flush 2001:690:2100:1016:1c96:9791:cbab:a54b AAAA, cache flush fe80::ce7:5f8d:814a:51e2 A, cache flush 194.210.234.135 NSEC, cache flush Franciscoâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Franciscos-MacBook-Air.local"
"27","0.055734","fe80::ce7:5f8d:814a:51e2","ff02::fb","MDNS","520","Standard query response 0x0000 PTR Franciscoâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 52218 Franciscos-MacBook-Air.local AAAA, cache flush 2001:690:2100:1016:1c96:9791:cbab:a54b AAAA, cache flush fe80::ce7:5f8d:814a:51e2 A, cache flush 194.210.234.135 NSEC, cache flush Franciscoâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Franciscos-MacBook-Air.local"
"28","0.056025","194.210.223.26","224.0.0.251","MDNS","249","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPad (2)._companion-link._tcp.local"
"29","0.056199","fe80::104c:5106:7519:b2c7","ff02::fb","MDNS","269","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPad (2)._companion-link._tcp.local"
"30","0.056392","194.210.180.57","224.0.0.251","MDNS","329","Standard query response 0x0000 PTR, cache flush sandras-iPhone.local PTR, cache flush sandras-iPhone.local PTR, cache flush sandras-iPhone.local NSEC, cache flush E.C.5.4.F.A.7.7.6.F.A.3.D.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 57.180.210.194.in-addr.arpa NSEC, cache flush 6.6.8.B.1.C.8.6.1.7.2.2.1.7.C.1.6.1.0.1.0.0.1.2.0.9.6.0.1.0.0.2.ip6.arpa"
"31","0.056530","fe80::46d:3af6:77af:45ce","ff02::fb","MDNS","349","Standard query response 0x0000 PTR, cache flush sandras-iPhone.local PTR, cache flush sandras-iPhone.local PTR, cache flush sandras-iPhone.local NSEC, cache flush E.C.5.4.F.A.7.7.6.F.A.3.D.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 57.180.210.194.in-addr.arpa NSEC, cache flush 6.6.8.B.1.C.8.6.1.7.2.2.1.7.C.1.6.1.0.1.0.0.1.2.0.9.6.0.1.0.0.2.ip6.arpa"
"32","0.056717","fe80::c85:9f92:6f4c:82e1","ff02::fb","MDNS","472","Standard query response 0x0000 PTR iPad de Matilde._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 62522 iPad-de-Matilde.local AAAA, cache flush fe80::c85:9f92:6f4c:82e1 AAAA, cache flush 2001:690:2100:1016:8e2:71c9:994e:892c A, cache flush 194.210.220.81 NSEC, cache flush iPad de Matilde._companion-link._tcp.local NSEC, cache flush iPad-de-Matilde.local"
"33","0.056884","194.210.222.55","255.255.255.255","DB-LSP-DISC/JSON","268","Dropbox LAN sync Discovery Protocol, JSON"
"34","0.057150","194.210.223.70","224.0.0.251","MDNS","220","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPad Adriana ._companion-link._tcp.local"
"35","0.057494","fe80::10cb:78d4:b660:ef3b","ff02::fb","MDNS","240","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPad Adriana ._companion-link._tcp.local"
"36","0.057790","194.210.222.55","194.210.223.255","DB-LSP-DISC/JSON","268","Dropbox LAN sync Discovery Protocol, JSON"
"37","0.057854","194.210.234.247","224.0.0.251","MDNS","174","Standard query response 0x0000 PTR, cache flush nmal-M3-14.local NSEC, cache flush 0.1.7.E.C.2.A.4.4.B.1.A.8.1.8.1.6.1.0.1.0.0.1.2.0.9.6.0.1.0.0.2.ip6.arpa"
"38","0.058038","fe80::1ce2:fc62:2678:d405","ff02::fb","MDNS","194","Standard query response 0x0000 PTR, cache flush nmal-M3-14.local NSEC, cache flush 0.1.7.E.C.2.A.4.4.B.1.A.8.1.8.1.6.1.0.1.0.0.1.2.0.9.6.0.1.0.0.2.ip6.arpa"
"39","0.058241","194.210.222.235","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"40","0.058407","fe80::b211:62e6:9504:22d7","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"41","0.058600","fe80::b211:62e6:9504:22d7","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"42","0.058825","fe80::b211:62e6:9504:22d7","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"43","0.059037","194.210.222.142","194.210.223.255","NBNS","92","Name query NB BRWA8934A2177F6<00>"
"44","0.059329","fe80::a17f:f8ba:3694:8c49","ff02::1:3","LLMNR","95","Standard query 0x5461 A BRWA8934A2177F6"
"45","0.059512","194.210.222.142","224.0.0.252","LLMNR","75","Standard query 0x5461 A BRWA8934A2177F6"
